text,true_entities,openai_response,anthropic_response,gemini_response,openai_correct,anthropic_correct,gemini_correct,openai_precision,anthropic_precision,gemini_precision,openai_recall,anthropic_recall,gemini_recall,openai_f1,anthropic_f1,gemini_f1,openai_latency_s,anthropic_latency_s,gemini_latency_s
Uzbekistan 1 1 0 0 2 0 3,{'LOC': ['Uzbekistan']},"{""LOC"": [""Uzbekistan""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Uzbekistan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Uzbekistan""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.485,0.718,0.933
Japan 1 1 0 0 2 1 3,{'LOC': ['Japan']},"{""LOC"": [""Japan""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.714,0.821,0.586
Syria 1 0 0 1 1 2 0,{'LOC': ['Syria']},"{""LOC"": [""Syria""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.539,1.022,0.863
China 1 0 0 1 0 2 0,{'LOC': ['China']},"{""PER"": [], ""ORG"": [], ""LOC"": [""China""], ""MISC"": []}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China""],
  ""MISC"": []
}
```","{""PER"": [], ""ORG"": [], ""LOC"": [""China""], ""MISC"": []}",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.687,1.42,0.819
CRICKET - PAKISTAN V NEW ZEALAND ONE-DAY SCOREBOARD .,"{'LOC': ['PAKISTAN', 'NEW ZEALAND']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Pakistan"", ""New Zealand""], ""MISC"": [""Cricket"", ""One-Day""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""PAKISTAN"", ""NEW ZEALAND""],
  ""MISC"": [""CRICKET"", ""ONE-DAY""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""PAKISTAN"", ""NEW ZEALAND""],
  ""MISC"": [""CRICKET""]
}
```",1,1,1,0.5,0.5,0.6667,1.0,1.0,1.0,0.6667,0.6667,0.8,0.921,0.886,0.656
[ CORRECTED 14:06 GMT ],{'MISC': ['GMT']},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""GMT""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""GMT""
  ]
}
```",0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.608,1.023,0.539
"SIALKOT , Pakistan 1996-12-06","{'LOC': ['SIALKOT', 'Pakistan']}","```json
{""LOC"": [""SIALKOT"", ""Pakistan""], ""MISC"": [""1996-12-06""], ""PER"": [], ""ORG"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""SIALKOT"", ""Pakistan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [
    ""SIALKOT"",
    ""Pakistan""
  ],
  ""MISC"": []
}
```",1,1,1,0.6667,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.239,1.617,0.906
Scoreboard in the second,{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The text ""Scoreboard in the second"" does not contain any named entities. It appears to be a fragment referring to a scoreboard in a second period/half, but contains no proper nouns identifying specific persons, organizations, locations, or miscellaneous entities.","I'm sorry, but the text ""Scoreboard in the second"" does not contain any named entities that can be extracted. It is an incomplete sentence and lacks specific names of people, organizations, locations, or other distinct entities.",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.821,1.215,0.728
one-day cricket international between Pakistan and New Zealand,"{'LOC': ['Pakistan', 'New Zealand']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Pakistan"", ""New Zealand""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Pakistan"", ""New Zealand""],
  ""MISC"": [""one-day cricket international""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Pakistan"", ""New Zealand""],
  ""MISC"": []
}
```",1,1,1,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.715,1.024,0.614
on Friday :,{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.805,0.76
Pakistan,{'LOC': ['Pakistan']},"{""PER"": [], ""ORG"": [], ""LOC"": [""Pakistan""], ""MISC"": []}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Pakistan""],
  ""MISC"": []
}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Pakistan""], ""MISC"": []}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.671,0.921,0.717
Saeed Anwar run out 91 ( corrects from 90 ),{'PER': ['Saeed Anwar']},"{""PER"": [""Saeed Anwar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","```json
{
  ""PER"": [""Saeed Anwar""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{""PER"": [""Saeed Anwar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.716,1.127,0.717
Zahoor Elahi b Cairns 86 ( corrects from 87 ),"{'PER': ['Zahoor Elahi', 'Cairns']}","{""PER"": [""Zahoor Elahi""], ""LOC"": [""Cairns""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Zahoor Elahi""],
  ""ORG"": [],
  ""LOC"": [""Cairns""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Zahoor Elahi"", ""Cairns""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.716,0.936,0.91
